arxiv_id,arxiv_version,title,authors,submitted_date,updated_date,primary_category,categories,relevance,relevance_confidence,decoder_family,decoder_name,missing_fields,paper_dir
2511.15177,v1,Fail fast: techniques to probe rare events in quantum error correction,Michael E. Beverland; Malcolm Carroll; Andrew W. Cross; Theodore J. Yoder,2025-11-19,2025-11-19,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.15177
2511.13281,v1,Restart Belief: A General Quantum LDPC Decoder,Lorenzo Valentini; Diego Forlivesi; Andrea Talarico; Marco Chiani,2025-11-17,2025-11-17,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.13281
2508.05095,v3,Explicit Instances of Quantum Tanner Codes,Rebecca Katharina Radebold; Stephen D. Bartlett; Andrew C. Doherty,2025-08-07,2025-11-14,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2508.05095
2511.04634,v1,Random Construction of Quantum LDPC Codes,Koki Okada; Kenta Kasai,2025-11-06,2025-11-06,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.04634
2511.02951,v1,List Decoding and New Bicycle Code Constructions for Quantum LDPC Codes,Sheida Rabeti; Hessam Mahdavifar,2025-11-04,2025-11-04,cs.IT,cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.02951
2511.01741,v1,HyperNQ: A Hypergraph Neural Network Decoder for Quantum LDPC Codes,Ameya S. Bhave; Navnil Choudhury; Kanad Basu,2025-11-03,2025-11-03,cs.LG,cs.LG; cs.IT; quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2511.01741
2501.07363,v2,Entanglement-Assisted Quantum Quasi-Cyclic LDPC Codes with Transversal Logical Operators,Pavan Kumar; Abhi Kumar Sharma; Shayan Srinivasa Garani,2025-01-13,2025-11-03,cs.IT,cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2501.07363
2510.21600,v1,Real-time decoding of the gross code memory with FPGAs,Thilo Maurer; Markus Bühler; Michael Kröner; Frank Haverkamp; Tristan Müller; Drew Vandeth; Blake R. Johnson,2025-10-24,2025-10-24,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.21600
2510.14090,v1,Quantum Low-Density Parity-Check Codes,Bane Vasic; Valentin Savin; Michele Pacenti; Shantom Borah; Nithin Raveendran,2025-10-15,2025-10-15,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.14090
2510.08695,v1,Degeneracy Cutting: A Local and Efficient Post-Processing for Belief Propagation Decoding of Quantum Low-Density Parity-Check Codes,Kento Tsubouchi; Hayata Yamasaki; Shiro Tamiya,2025-10-09,2025-10-09,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.08695
2510.07602,v1,Noisy-Syndrome Decoding of Hypergraph Product Codes,Venkata Gandikota; Elena Grigorescu; Vatsal Jha; S. Venkitesh,2025-10-08,2025-10-08,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.07602
2510.06760,v1,Constant-Overhead Addressable Gates via Single-Shot Code Switching,Louis Golowich; Kathleen Chang; Guanyu Zhu,2025-10-08,2025-10-08,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2510.06760
2508.04969,v2,Minimum-Weight Parity Factor Decoder for Quantum Error Correction,Yue Wu; Binghong Li; Kathleen Chang; Shruti Puri; Lin Zhong,2025-08-07,2025-10-02,quant-ph,quant-ph; cs.DS,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2508.04969
2509.22347,v1,Decoding quantum low density parity check codes with diffusion,Zejun Liu; Anqi Gong; Bryan K. Clark,2025-09-26,2025-09-26,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2509.22347
2509.06316,v1,Single-Shot Decoding of Biased-Tailored Quantum LDPC Codes,Devon Campbell,2025-09-08,2025-09-08,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2509.06316
2412.21171,v4,Quantum Error Correction near the Coding Theoretical Bound,Daiki Komoto; Kenta Kasai,2024-12-30,2025-09-08,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2412.21171
2406.18655,v2,Localized statistics decoding for quantum low-density parity-check codes,Timo Hillmann; Lucas Berent; Armanda O. Quintavalle; Jens Eisert; Robert Wille; Joschka Roffe,2024-06-26,2025-09-05,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2406.18655
2509.01892,v1,Accelerating BP-OSD Decoder for QLDPC Codes with Local Syndrome-Based Preprocessing,Wenxuan Fan; Yasunari Suzuki; Gokul Subramanian Ravi; Yosuke Ueno; Koji Inoue; Teruo Tanimoto,2025-09-02,2025-09-02,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2509.01892
2506.16910,v2,Abelian multi-cycle codes for single-shot error correction,Hsiang-Ku Lin; Pak Kau Lim; Alexey A. Kovalev; Leonid P. Pryadko,2025-06-20,2025-08-26,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2506.16910
2508.07879,v1,GPU-Accelerated Syndrome Decoding for Quantum LDPC Codes below the 63 $μ$s Latency Threshold,Oscar Ferraz; Bruno Coutinho; Gabriel Falcao; Marco Gomes; Francisco A. Monteiro; Vitor Silva,2025-08-11,2025-08-11,quant-ph,quant-ph; cs.DC,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2508.07879
2508.04769,v1,Power and Limitations of Linear Programming Decoder for Quantum LDPC Codes,Shouzhen Gu; Mehdi Soleimanifar,2025-08-06,2025-08-06,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2508.04769
2409.01440,v2,An almost-linear time decoding algorithm for quantum LDPC codes under circuit-level noise,Antonio deMarti iOlius; Imanol Etxezarreta Martinez; Joschka Roffe; Josu Etxezarreta Martinez,2024-09-02,2025-08-05,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2409.01440
2507.11534,v2,Sharp Error-Rate Transitions in Quantum QC-LDPC Codes under Joint BP Decoding,Daiki Komoto; Kenta Kasai,2025-07-15,2025-07-16,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2507.11534
2501.08036,v2,Decoding Quantum LDPC Codes using Collaborative Check Node Removal,Mainak Bhattacharyya; Ankur Raina,2025-01-14,2025-06-30,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2501.08036
2505.18592,v2,Hierarchical Quantum Error Correction with Hypergraph Product Code and Rotated Surface Code,Junichi Haruna; Keisuke Fujii,2025-05-24,2025-06-24,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2505.18592
2501.09622,v3,"Optimizing hypergraph product codes with random walks, simulated annealing and reinforcement learning",Bruno C. A. Freire; Nicolas Delfosse; Anthony Leverrier,2025-01-16,2025-06-05,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2501.09622
2502.19971,v2,Efficient and Universal Neural-Network Decoder for Stabilizer-Based Quantum Error Correction,Gengyuan Hu; Wanli Ouyang; Chao-Yang Lu; Chen Lin; Han-Sen Zhong,2025-02-27,2025-06-03,quant-ph,quant-ph; cs.AI,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2502.19971
2504.21845,v2,On the Efficacy of the Peeling Decoder for the Quantum Expander Code,Jefrin Sharmitha Prabhu; Abhinav Vaishya; Shobhit Bhatnagar; Aryaman Manish Kolhe; V. Lalitha; P. Vijay Kumar,2025-04-30,2025-05-29,quant-ph,quant-ph; cs.IT,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2504.21845
2505.06385,v1,Fault Tolerant Decoding of QLDPC-GKP Codes with Circuit Level Soft Information,Shantom K. Borah; Asit K. Pradhan; Nithin Raveendran; Michele Pacenti; Bane Vasic,2025-05-09,2025-05-09,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2505.06385
2505.06157,v1,Advancing Finite-Length Quantum Error Correction Using Generalized Bicycle Codes,Olai Å. Mostad; Hsuan-Yin Lin; Eirik Rosnes; De-Shih Lee; Ching-Yi Lai,2025-05-09,2025-05-09,quant-ph,quant-ph; cs.IT,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2505.06157
2504.21200,v1,Turbo-Annihilation of Hook Errors in Stabilizer Measurement Circuits,Michele Pacenti; Asit K. Pradhan; Shantom K. Borah; Bane Vasic,2025-04-29,2025-04-29,quant-ph,quant-ph,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2504.21200
2504.15087,v1,Explicit Lossless Vertex Expanders,Jun-Ting Hsieh; Alexander Lubotzky; Sidhanth Mohanty; Assaf Reiner; Rachel Yun Zhang,2025-04-21,2025-04-21,math.CO,math.CO; cs.CC; cs.DM; cs.DS; math.GR,relevant,0.55,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2504.15087
2504.13043,v1,Machine Learning Decoding of Circuit-Level Noise for Bivariate Bicycle Codes,John Blue; Harshil Avlani; Zhiyang He; Liu Ziyin; Isaac L. Chuang,2025-04-17,2025-04-17,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2504.13043
2409.05818,v2,Non-local resources for error correction in quantum LDPC codes,Omprakash Chandra; Gopikrishnan Muraleedharan; Gavin K. Brennen,2024-09-09,2025-04-11,quant-ph,quant-ph,maybe,0.35,,,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls,/home/runner/work/decoders-review/decoders-review/data/papers/2409.05818
